Carrera,Grupo,Clave,Materia,CRN,Profesor,Dia,Hora inicio,Hora Fin,Aula,Modalidad
Abogado,4B,IC885,DERECHO CONSTITUCIONAL II,158437,HURTADO LOPEZ IRMA VERONICA,SABADO,18,19,EL68,HIBRIDA
Abogado,4B,IC882,DERECHO CIVIL III,158433,LIZAOLA ZEPEDA GRACIELA GUADALUPE,SABADO,19,20,EL89,HIBRIDA
Abogado,4B,IC858,FILOSOFIA DEL DERECHO,158725,CORTES JOSE GILBERTO,SABADO,20,21,EL42,HIBRIDA
Abogado,5A,IC871,LITIGACION ORAL,165371,MARQUEZ ROSALES FRANCISCO,LUNES,18,19,EL83,HIBRIDA
Abogado,5A,IC889,DERECHOS HUMANOS Y SUS GARANTIAS,164843,MURILLO LAMAS OSCAR EFRAIN,MARTES,10,12,C16,HIBRIDA
Abogado,5A,IC868,LENGUA EXTRANJERA ESPECIALIZADA II,165330,GONZALEZ MARTINEZ JORGE,MARTES,12,14,C14,TOTAL PRESENCIAL
Abogado,5A,IC875,DERECHO MERCANTIL III,164822,AGUILAR NAVARRO RAUL,MARTES,14,16,C5,HIBRIDA
Abogado,5A,IC875,DERECHO MERCANTIL III,164822,AGUILAR NAVARRO RAUL,MARTES,18,19,EL99,HIBRIDA
Abogado,5A,REC01,RECREACION Y APROVECHAMIENTO,,,MIERCOLES,8,10,AULA-RECREACION-20,
Abogado,5A,IC871,LITIGACION ORAL,165371,MARQUEZ ROSALES FRANCISCO,MIERCOLES,10,12,AUD2,HIBRIDA
Abogado,5A,IC888,DERECHO DE LA SEGURIDAD SOCIAL,164817,CORTES JOSE GILBERTO,MIERCOLES,12,14,B14,HIBRIDA
Abogado,5A,IC883,DERECHO CIVIL IV,164814,MARQUEZ ROSALES ANTONIO,MIERCOLES,18,19,EL96,HIBRIDA
Abogado,5A,IC910,ESTUDIO DE CASO DE INSTITUCIONES JURIDICAS V,164904,FLORES LARA ANA ELIZABETH,JUEVES,12,14,EL11,TOTAL EN LINEA
Abogado,5A,IC889,DERECHOS HUMANOS Y SUS GARANTIAS,164843,MURILLO LAMAS OSCAR EFRAIN,JUEVES,19,20,EL50,HIBRIDA
